연도,권역,행정구역,암반면적,갯녹음 면적,,,갯녹음 비율,,,
,,,,정상,진행,심화,정상,진행,심화,
2019,동해,속초시,358.1,190.4,112.3,55.4,53.1,31.4,15.5,
2019,동해,양양군,468.2,270.1,112.0,86.1,57.7,23.9,18.4,
2019,동해,강릉시,853.0,514.2,190.2,148.6,60.3,22.3,17.4,
2019,동해,동해시,638.4,369.8,180.1,88.5,57.9,28.2,13.9,
2019,동해,삼척시,652.2,404.2,153.3,94.7,62.0,23.5,14.5,
2019,동해,울릉군,794.7,650.6,94.6,49.5,81.9,11.9,6.2,
2019,동해,울진군,1004.2,494.9,248.5,260.8,49.3,24.7,26.0,
2019,동해,영덕군,789.3,378.4,182.9,228.0,47.9,23.2,28.9,
2019,동해,포항시,4263.1,1734.0,1457.0,1072.1,40.7,34.2,25.1,
2019,동해,경주시,773.2,414.6,207.2,151.4,53.6,26.8,19.6,
2019,동해,울산시,1686.7,825.9,446.0,414.8,49.0,26.4,24.6,
2019,동해,부산시(오륙북부),1144.0,695.2,279.3,169.5,60.8,24.4,14.8,
2020,서해,강화군,0.3,0.3,0.0,,100.0,0.0,,
2020,서해,인천시,130.5,114.0,16.5,,87.4,12.6,,
2020,서해,안산시,0.3,0.3,0.0,,100.0,0.0,,
2020,서해,태안군,47.1,44.8,2.3,,95.1,4.9,,
2020,서해,보령시,5.5,4.6,0.9,,83.6,16.4,,
2020,서해,서천군,2.8,2.7,0.1,,96.4,3.6,,
2020,서해,군산시,18.9,18.1,0.8,,95.8,4.2,,
2020,서해,부안군,38.0,34.8,3.2,,1.6,8.4,,
2020,서해,무안군,1.2,1.2,0.0,,100.0,0.0,,
2020,서해,신안군,110.3,101.1,9.2,,91.7,8.3,,
2020,서해,진도군,3.1,3.1,0.0,,100.0,0.0,,
2019,남해,부산시(오륙남부),402.1,315,51.2,35.9,78.4,12.7,8.9,
2019,남해,창원시,122.0,106.7,10.9,4.4,87.5,8.9,3.6,
2019,남해,거제시,726.6,628.3,63.7,34.6,86.5,8.8,4.7,
2019,남해,통영시,1203.4,1012.9,101.9,88.6,84.1,8.5,7.4,
2019,남해,사천시,165.3,155.8,6.0,3.5,94.3,3.6,2.1,
2019,남해,광양시,0.5,0.5,0.0,0.0,100.0,0.0,0.0,
2019,남해,고성군,166.4,157.6,5.7,3.1,94.7,3.4,1.9,
2019,남해,남해군,558.0,458.9,85.0,14.1,82.2,15.3,2.5,
2019,남해,하동군,47.3,43.3,3.5,0.5,91.5,7.4,1.1,
2019,남해,여수시,1948.3,1654.9,173.3,120.1,84.9,8.9,6.2,
2019,남해,순천시,1.2,1.2,0.0,0.0,100.0,0.0,0.0,
2019,남해,보성군,31.8,29.5,2.1,0.2,92.8,6.6,0.6,
2019,남해,고흥군,915.6,861.0,36.1,18.5,94.1,3.9,2.0,
2019,남해,장흥군,44.6,40.9,1.7,2.0,91.7,3.8,4.5,
2019,남해,강진군,11.4,10.4,0.8,0.2,91.2,7.0,1.8,
2019,남해,완도군,2290.1,2066.4,141.6,82.1,90.2,6.2,3.6,
2019,남해,해남군,179.9,161.4,11.6,6.9,89.7,6.4,3.9,
2021,제주,한경면,1054.8,669.4,195.5,189.9,63.5,18.5,18,
2021,제주,한림읍,1478.2,1003.5,333.4,141.3,67.9,22.5,9.6,
2021,제주,애월읍,881.7,493.4,243.1,145.2,55.9,27.6,16.5,
2021,제주,제주시,1738.8,1012.6,487.8,238.4,58.2,28.1,13.7,
2021,제주,조천읍,848.4,523.3,159.9,165.2,61.7,18.8,19.5,
2021,제주,구좌읍,2927.4,2079.1,519.1,329.2,71.0,17.7,11.3,
2021,서귀포,성산읍,1622.9,1187.8,310.1,125.0,73.2,19.1,7.7,
2021,서귀포,표선면,734.8,454.1,199.2,81.5,61.8,27.1,11.1,
2021,서귀포,남원읍,1404.4,862.5,368.7,176.2,61.3,26.2,12.5,
2021,서귀포,서귀포,1597.9,1012.8,419.9,165.2,63.4,26.3,10.3,
2021,서귀포,안덕면,567.3,368.4,136.8,62.1,64.9,24.1,11.0,
2021,서귀포,대정읍,1542.8,991.0,325.5,225.5,64.3,21.1,14.6,
