station,해역,getnok
가로림연안1_연안,1,4.9
가로림연안2_연안,1,4.9
가로림연안3_연안,1,4.9
가막만1_환경관리,2,15.1
가막만2_환경관리,2,15.1
가막만3_환경관리,2,15.1
감포연안1_연안,3,46.4
감포연안2_연안,3,46.4
강구연안1_연안,3,52.1
강릉연안1_연안,3,39.7
강릉연안2_연안,3,39.7
강릉연안3_연안,3,39.7
강릉연안4_연안,3,39.7
강릉연안5_연안,3,39.7
거제도남안1_연안,2,13.5
거제도남안2_연안,2,13.5
거제도남안3_연안,2,13.5
거제도남안4_연안,2,13.5
거제도동안1_연안,2,13.5
거제도동안2_연안,2,13.5
거제도동안3_연안,2,13.5
거제도동안4_연안,2,13.5
고성자란만1_연안,2,5.3
고성자란만2_연안,2,5.3
고성자란만3_연안,2,5.3
고창연안1_연안,1,8.4
고창연안2_연안,1,8.4
고창연안4_연안,1,8.4
고흥연안1_연안,2,5.9
고흥연안2_연안,2,5.9
고흥연안3_연안,2,5.9
고흥연안4_연안,2,5.9
고흥연안5_연안,2,5.9
광양만1_환경관리,2,0
광양만2_환경관리,2,0
광양만3_환경관리,2,0
광양만4_환경관리,2,0
광양만5_환경관리,2,0
구룡포연안1_연안,3,59.3
구룡포연안2_연안,3,59.3
군산연안10_연안,1,4.2
군산연안1_연안,1,4.2
군산연안2_연안,1,4.2
군산연안3_연안,1,4.2
군산연안4_연안,1,4.2
군산연안5_연안,1,4.2
군산연안6_연안,1,4.2
군산연안7_연안,1,4.2
군산연안8_연안,1,4.2
군산연안9_연안,1,4.2
기장연안1_연안,3,39.2
기장연안2_연안,3,39.2
기장연안3_연안,3,39.2
남해도남안1_연안,2,17.8
남해도남안2_연안,2,17.8
남해도남안3_연안,2,17.8
남해도남안4_연안,2,17.8
남해도남안5_연안,2,17.8
도암만1_환경관리,2,8.3
도암만2_환경관리,2,8.3
동해연안1_연안,3,42.1
동해연안2_연안,3,42.1
동해연안3_연안,3,42.1
동해연안4_연안,3,42.1
득량만1_환경관리,2,7.2
득량만2_환경관리,2,7.2
득량만3_환경관리,2,7.2
마산만1_환경관리,2,12.5
마산만2_환경관리,2,12.5
무안연안1_연안,1,0
무안연안2_연안,1,0
무안연안3_연안,1,0
보령연안1_연안,1,16.4
보령연안2_연안,1,16.4
보령연안3_연안,1,16.4
부산연안1_환경관리,2,39.2
부산연안2_환경관리,2,39.2
부산연안3_환경관리,2,39.2
부산연안4_환경관리,2,21.6
사천연안1_연안,2,5.7
사천연안2_연안,2,5.7
사천연안3_연안,2,5.7
삼척연안1_연안,3,38
삼척연안2_연안,3,38
삼척연안3_연안,3,38
속초연안2_연안,3,46.9
속초연안3_연안,3,46.9
속초연안4_연안,3,46.9
신안연안1_연안,1,8.3
신안연안2_연안,1,8.3
양양연안1_연안,3,42.3
양양연안2_연안,3,42.3
여수연안1_연안,2,15.1
여수연안2_연안,2,15.1
여수연안3_연안,2,15.1
여수연안4_연안,2,15.1
여수연안5_연안,2,15.1
여자만1_연안,2,0
여자만2_연안,2,0
여자만3_연안,2,0
영일만10_연안,3,59.3
영일만11_연안,3,59.3
영일만12_연안,3,59.3
영일만2_연안,3,59.3
영일만3_연안,3,59.3
영일만4_연안,3,59.3
영일만5_연안,3,59.3
영일만6_연안,3,59.3
영일만7_연안,3,59.3
영일만8_연안,3,59.3
영일만9_연안,3,59.3
온산연안1_환경관리,3,51
온산연안2_환경관리,3,51
온산연안3_환경관리,3,51
완도연안1_환경관리,2,9.8
완도연안2_환경관리,2,9.8
완도연안3_환경관리,2,9.8
완도연안4_환경관리,2,9.8
완도연안5_환경관리,2,9.8
울산연안1_환경관리,3,51
울산연안2_환경관리,3,51
울산연안3_환경관리,3,51
울산연안4_환경관리,3,51
월포연안1_연안,3,59.3
인천연안10_환경관리,1,12.6
인천연안11_환경관리,1,12.6
인천연안12_환경관리,1,12.6
인천연안13_환경관리,1,12.6
인천연안14_환경관리,1,12.6
인천연안15_환경관리,1,12.6
인천연안1_환경관리,1,12.6
인천연안2_환경관리,1,12.6
인천연안3_환경관리,1,12.6
인천연안4_환경관리,1,12.6
인천연안5_환경관리,1,12.6
인천연안6_환경관리,1,12.6
인천연안7_환경관리,1,12.6
인천연안8_환경관리,1,12.6
인천연안9_환경관리,1,12.6
전주포연안1_연안,1,4.2
전주포연안2_연안,1,4.2
전주포연안3_연안,1,8.4
전주포연안4_연안,1,8.4
전주포연안5_연안,1,8.4
전주포연안6_연안,1,8.4
주문진연안1_연안,3,39.7
주문진연안2_연안,3,39.7
주문진연안3_연안,3,39.7
주문진연안4_연안,3,39.7
주문진연안5_연안,3,39.7
죽변연안1_연안,3,50.7
죽변연안2_연안,3,50.7
죽변연안3_연안,3,50.7
죽변연안4_연안,3,50.7
진도연안1_연안,1,0
진도연안2_연안,1,0
진도연안3_연안,1,0
진도연안4_연안,1,0
진주만1_연안,2,5.7
진주만2_연안,2,17.8
진해만1_환경관리,2,12.5
진해만2_환경관리,2,12.5
축산연안1_연안,3,52.1
태안연안1_연안,1,4.9
태안연안2_연안,1,4.9
태안연안3_연안,1,4.9
태안연안4_연안,1,4.9
태안연안5_연안,1,4.9
통영연안1_연안,2,15.9
통영연안2_연안,2,15.9
통영연안4_연안,2,15.9
함평연안1_환경관리,1,8.3
함평연안2_환경관리,1,8.3
해남만1_연안,2,10.3
행암만1_환경관리,2,12.5
후포연안1_연안,3,50.7
